"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-06",,"49","58","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-07",,"51","60","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-08",,"46","55","40",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-09",,"44","51","39",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-10",,"39","48","35",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-11",,"41","48","35",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-12",,"49","58","39",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-13",,"51","59","40",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-14",,"44","55","37",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-15",,"40","44","36",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-16",,"45","53","38",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-17",,"47","53","38",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-18",,"51","60","45",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-19",,"49","53","43",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-20",,"47","56","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-21",,"51","60","44",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-22",,"50","60","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-23",,"51","58","45",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-24",,"54","63","47",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-25",,"49","56","43",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-26",,"55","66","45",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-27",,"61","69","51",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-28",,"64","73","54",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-29",,"62","69","55",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-30",,"61","70","53",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-03-31",,"65","73","54",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-01",,"69","77","61",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-02",,"67","80","57",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-03",,"55","68","44",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-04",,"52","63","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-05",,"52","63","42",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-06",,"57","69","42",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-07",,"59","68","49",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-08",,"60","75","44",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-09",,"61","70","51",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-10",,"60","75","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-11",,"64","75","52",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-12",,"66","76","56",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-13",,"56","71","43",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-14",,"53","66","41",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-15",,"59","71","47",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-16",,"63","75","51",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-17",,"68","76","59",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-18",,"72","82","61",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-19",,"71","82","60",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-20",,"58","71","46",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-21",,"57","72","45",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-22",,"55","73","43",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-23",,"55","71","42",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-24",,"55","66","48",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-25",,"49","56","43",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-26",,"49","58","40",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-27",,"59","70","43",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-28",,"67","79","56",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-29",,"73","83","60",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-04-30",,"73","84","64",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-01",,"66","79","52",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-02",,"67","77","51",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-03",,"73","82","63",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-04",,"76","84","68",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-05",,"77","89","67",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-06",,"69","81","56",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-07",,"64","76","50",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-08",,"71","81","60",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-09",,"72","80","64",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-10",,"74","85","63",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-11",,"77","86","66",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-12",,"77","88","66",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-13",,"75","86","62",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-14",,"68","83","50",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-15",,"54","66","46",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-16",,"58","72","46",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-17",,"62","75","46",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-18",,"69","82","59",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-19",,"61","76","51",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-20",,"55","64","46",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-21",,"57","67","50",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-22",,"60","69","46",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-23",,"60","72","46",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-24",,"71","83","57",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-25",,"69","79","60",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-26",,"71","82","57",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-27",,"70","82","58",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-28",,"71","83","61",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-29",,"66","82","50",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-30",,"76","90","52",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-05-31",,"87","97","76",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-01",,"87","98","76",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-02",,"84","98","73",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-03",,"80","92","65",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-04",,"82","92","70",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-05",,"77","89","65",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-06",,"71","84","59",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-07",,"64","79","52",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-08",,"59","71","48",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-09",,"57","70","48",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-10",,"60","72","47",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-11",,"66","78","52",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-12",,"73","84","59",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-13",,"74","87","63",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-14",,"71","82","62",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-15",,"75","86","60",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-16",,"83","93","73",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-17",,"91","101","79",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-18",,"92","102","78",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-19",,"90","104","77",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-20",,"89","103","75",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-21",,"77","93","60",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-22",,"69","85","54",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-23",,"69","87","54",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-24",,"69","83","57",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-25",,"75","90","56",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-26",,"85","97","73",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-27",,"88","100","74",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-28",,"85","96","73",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-29",,"85","96","74",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-06-30",,"80","93","68",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-01",,"77","92","63",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-02",,"79","94","64",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-03",,"78","93","62",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-04",,"78","92","62",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-05",,"77","94","59",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-06",,"81","94","65",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-07",,"83","93","72",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-08",,"87","98","71",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-09",,"94","104","81",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-10",,"98","108","85",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-11",,"97","107","89",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-12",,"89","98","77",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-13",,"79","94","68",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-14",,"77","94","63",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-15",,"77","91","65",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-16",,"76","92","60",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-17",,"80","94","64",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-18",,"84","93","72",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-19",,"85","98","75",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-20",,"83","94","74",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-21",,"83","93","73",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-22",,"86","93","75",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-23",,"83","96","69",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-24",,"85","97","70",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-25",,"84","95","70",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-26",,"80","91","72",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-27",,"83","94","73",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-28",,"85","95","74",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-29",,"88","98","75",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-30",,"89","102","77",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-07-31",,"82","94","70",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-01",,"81","96","67",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-02",,"79","91","63",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-03",,"85","97","70",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-04",,"85","101","75",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-05",,"78","87","71",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-06",,"82","94","69",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-07",,"82","93","71",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-08",,"80","94","69",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-09",,"80","94","67",
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2021-08-10",,"84","95","71",
